n_dim,tol,opt
5,0.01,9.796441539514714e-06
10,0.01,0.11760272222366264
20,0.01,5.484851050085569
25,0.01,11.466499396115527
30,0.01,20.991530632644047
50,0.01,81.91192460020943
5,0.0001,2.569658497279849e-06
10,0.0001,0.11076159548188624
20,0.0001,4.445403069126998
25,0.0001,16.536455338414772
30,0.0001,19.515666452562257
50,0.0001,89.28913601241426
5,1e-06,6.238593705630422e-05
10,1e-06,0.13408486583993032
20,1e-06,6.707397392157557
25,1e-06,10.821817710423172
30,1e-06,18.852636062384892
50,1e-06,87.45732693663608
